round_client,layer,A_norm,B_norm,Var_Balpha,Var_betaA,Var_ba,Total_Var,mean_orig_update,mean_noisy_update,mean_update_diff
round_136_client_18,base_model.model.model.layers.10.self_attn.v_proj_stats,2.467057228088379,2.4659130573272705,9.353800471321188,9.362482714102434,18.93019768098931,37.64648086641293,-2.5177405404974706e-07,-2.8774711694268265e-07,-3.597306875491313e-08
round_136_client_18,base_model.model.model.layers.16.self_attn.q_proj_stats,2.477400779724121,2.4790847301483154,9.453993987322557,9.441154853557434,18.93019768098931,37.8253465218693,-4.3120781612060455e-08,-3.4711130965092705e-08,8.40968425563915e-09
round_136_client_18,base_model.model.model.layers.5.self_attn.v_proj_stats,2.4789257049560547,2.48136568069458,9.471398808390349,9.452781140522012,18.93019768098931,37.85437762990167,6.697906940189569e-08,6.109187758340795e-08,-5.887165102080871e-09
round_136_client_18,base_model.model.model.layers.12.self_attn.q_proj_stats,2.4743354320526123,2.475188970565796,9.424304361491915,9.417805770968378,18.93019768098931,37.7723078134496,1.0934643412952028e-08,-2.8451441451693428e-08,-3.9386077475001e-08
round_136_client_18,base_model.model.model.layers.12.self_attn.v_proj_stats,2.480146884918213,2.4936394691467285,9.565328900745408,9.462096780930592,18.93019768098931,37.95762336266531,3.559375016948252e-08,-3.6445044422350745e-08,-7.203880105777217e-08
round_136_client_18,base_model.model.model.layers.25.self_attn.v_proj_stats,2.468068838119507,2.4851081371307373,9.499990344246928,9.370162408872332,18.93019768098931,37.800350434108566,-1.0249135584672331e-07,-1.1606776062933477e-07,-1.3576437858375811e-08
round_136_client_18,base_model.model.model.layers.31.self_attn.q_proj_stats,2.4796206951141357,2.4778287410736084,9.444416980857042,9.458082235886993,18.93019768098931,37.83269689773334,4.063751291027984e-08,7.498285370388658e-10,-3.9887653890957606e-08
round_136_client_18,base_model.model.model.layers.24.self_attn.q_proj_stats,2.4834275245666504,2.4676828384399414,9.367231699002286,9.487145507220578,18.93019768098931,37.78457488721217,-1.5182359902610187e-07,-1.3218021198468933e-07,1.964337023707685e-08
round_136_client_18,base_model.model.model.layers.6.self_attn.q_proj_stats,2.489738702774048,2.4913675785064697,9.54790739132615,9.535426478711463,18.93019768098931,38.01353155102692,-9.515252230585247e-08,-8.109078443396811e-08,1.4061756061778396e-08
round_136_client_18,base_model.model.model.layers.11.self_attn.v_proj_stats,2.480459213256836,2.488696575164795,9.527445680163789,9.464480080941383,18.93019768098931,37.92212344209448,6.901030502604044e-08,1.464589185928844e-07,7.744861875380593e-08
round_136_client_18,base_model.model.model.layers.18.self_attn.q_proj_stats,2.494180679321289,2.494093418121338,9.568811815200695,9.569481397664543,18.93019768098931,38.068490893854545,-9.279672497086722e-08,-1.2213853366915828e-07,-2.9341794629544893e-08
round_136_client_18,base_model.model.model.layers.7.self_attn.q_proj_stats,2.467085838317871,2.481541872024536,9.472743904449379,9.362699867015797,18.93019768098931,37.76564145245449,1.448234456802311e-07,1.4836924465910784e-07,3.545805533633484e-09
round_136_client_18,base_model.model.model.layers.29.self_attn.v_proj_stats,2.4702563285827637,2.4899797439575195,9.537272890739137,9.386779631269306,18.93019768098931,37.854250202997754,-8.889909253184669e-08,-8.732028472735464e-08,1.5787902896136075e-09
round_136_client_18,base_model.model.model.layers.11.self_attn.q_proj_stats,2.4895641803741455,2.4891903400421143,9.531226602892417,9.534089722219088,18.93019768098931,37.99551400610081,4.8391569862360484e-08,1.0514683934204073e-07,5.675526690396282e-08
round_136_client_18,base_model.model.model.layers.23.self_attn.q_proj_stats,2.4843530654907227,2.47127103805542,9.394492847396663,9.494218294782419,18.93019768098931,37.81890882316839,6.605363722655966e-08,4.4814251687341764e-08,-2.123937838049983e-08
round_136_client_18,base_model.model.model.layers.23.self_attn.v_proj_stats,2.4856698513031006,2.4925994873046875,9.557352050751147,9.504285434846082,18.93019768098931,37.99183516658654,-2.503858453906105e-08,-4.211513470409045e-08,-1.7076557554673853e-08
round_136_client_18,base_model.model.model.layers.24.self_attn.v_proj_stats,2.472090482711792,2.4883341789245605,9.524671168283547,9.400724088869033,18.93019768098931,37.85559293814189,-2.0291550129059033e-07,-2.1080080953694846e-07,-7.885307908850336e-09
round_136_client_18,base_model.model.model.layers.22.self_attn.q_proj_stats,2.488816022872925,2.4761383533477783,9.431535315011825,9.528360262417582,18.93019768098931,37.890093258418716,1.4659890723578428e-07,1.4897905824540204e-07,2.380159855874808e-09
round_136_client_18,base_model.model.model.layers.27.self_attn.q_proj_stats,2.4759955406188965,2.4844510555267334,9.494967268149484,9.430447407745909,18.93019768098931,37.855612356884706,6.668996377356962e-08,3.797481781475654e-08,-2.8715152318170567e-08
round_136_client_18,base_model.model.model.layers.9.self_attn.q_proj_stats,2.4756035804748535,2.479048728942871,9.453719407995473,9.427461887869692,18.93019768098931,37.81137897685447,-1.9747639967704345e-08,5.979240221165582e-08,7.954008083288499e-08
round_136_client_18,base_model.model.model.layers.13.self_attn.v_proj_stats,2.500692844390869,2.4839510917663574,9.491146173039446,9.619517385398838,18.93019768098931,38.04086123942759,6.374328620495362e-08,9.52399529907666e-08,3.1496665471308915e-08
round_136_client_18,base_model.model.model.layers.28.self_attn.q_proj_stats,2.4940671920776367,2.4808027744293213,9.467102057584208,9.568610579147869,18.93019768098931,37.96591031772139,9.266037181987485e-08,2.8007822514553028e-08,-6.465255626864064e-08
round_136_client_18,base_model.model.model.layers.20.self_attn.v_proj_stats,2.4806008338928223,2.4874935150146484,9.518236586615103,9.465560851747812,18.93019768098931,37.91399511935222,1.9364676973054884e-07,1.3499435517871915e-07,-5.865241451630254e-08
round_136_client_18,base_model.model.model.layers.29.self_attn.q_proj_stats,2.482398271560669,2.474501132965088,9.419067193524528,9.479283268876605,18.93019768098931,37.82854814339044,2.1232489189060288e-07,1.6466266931303152e-07,-4.7662246913660055e-08
round_136_client_18,base_model.model.model.layers.17.self_attn.q_proj_stats,2.470137596130371,2.489006757736206,9.529820764210184,9.385877305005998,18.93019768098931,37.84589575020549,1.1774213248827436e-07,1.103303770477737e-07,-7.41179089658317e-09
round_136_client_18,base_model.model.model.layers.14.self_attn.v_proj_stats,2.4684438705444336,2.483713150024414,9.489327915267864,9.37301028869433,18.93019768098931,37.792535884951505,-2.3455717723663838e-07,-2.63522411110273e-07,-2.896523728423972e-08
